,0,1,2,3
0,封氏,士隐,夫人,0.18535442650318146
1,士隐,甄士隐,儿子,0.691453218460083
2,士隐,甄士隐,儿子,0.6935780644416809
3,贾雨村,严老爷,父亲,0.6743292212486267
4,贾雨村,雨村,父亲,0.5946979522705078
5,严老爷,雨村,夫人,0.21010027825832367
6,士隐,雨村,父亲,0.3270742893218994
7,士隐,小童,父亲,0.4351813495159149
8,士隐,雨村,儿子,0.31823524832725525
9,小童,雨村,母亲,0.37322384119033813
10,士隐,雨村,父亲,0.3317863345146179
11,士隐,雨村,儿子,0.2880516052246094
12,士隐,小童,父亲,0.42425331473350525
13,士隐,小童,父亲,0.46739712357521057
14,士隐,雨村,儿子,0.33008426427841187
15,小童,雨村,母亲,0.45737671852111816
16,小童,甄爷,女儿,0.29015275835990906
17,霍启,士隐,父亲,0.4373350143432617
18,霍启,英莲,父亲,0.25835737586021423
19,士隐,英莲,父亲,0.5795754194259644
20,霍启,英莲,父亲,0.20467039942741394
21,封肃,英莲,夫人,0.300179660320282
22,封肃,雨村,儿子,0.3588714897632599
23,封肃,雨村,儿子,0.3395645320415497
24,士隐,雨村,父亲,0.28008681535720825
25,林海,林如海,外孙女,0.11135214567184448
26,黛玉,雨村,外孙女,0.20576389133930206
27,冷子兴,子兴,母亲,0.4252551198005676
28,贾敬,贾蓉,父亲,0.6721574068069458
29,贾敬,贾赦,父亲,0.6721574068069458
30,贾敬,贾珍,父亲,0.6721574068069458
31,贾敬,贾政,父亲,0.6721574068069458
32,贾敬,贾珠,父亲,0.6721574068069458
33,贾敬,宁公,儿子,0.4206782877445221
34,贾敬,宁国公,父亲,0.5684630274772644
35,贾敬,荣公,父亲,0.6721574068069458
36,贾敬,史侯,父亲,0.6721574068069458
37,贾敬,珍,父亲,0.6721574068069458
38,贾敬,子兴,父亲,0.682607889175415
39,贾蓉,贾赦,儿子,0.5287138819694519
40,贾蓉,贾珍,儿子,0.5768731832504272
41,贾蓉,贾政,儿子,0.5287138819694519
42,贾蓉,贾珠,儿子,0.5287138819694519
43,贾蓉,宁公,儿子,0.7418486475944519
44,贾蓉,宁国公,儿子,0.3577604591846466
45,贾蓉,荣公,儿子,0.5287138819694519
46,贾蓉,史侯,儿子,0.5287138819694519
47,贾蓉,珍,儿子,0.5287138819694519
48,贾蓉,子兴,儿子,0.5490950345993042
49,贾赦,贾珍,儿子,0.5768731832504272
50,贾赦,贾政,儿子,0.5287138819694519
51,贾赦,贾珠,儿子,0.5287138819694519
52,贾赦,宁公,儿子,0.7418486475944519
53,贾赦,宁国公,儿子,0.3577604591846466
54,贾赦,荣公,儿子,0.5287138819694519
55,贾赦,史侯,儿子,0.5287138819694519
56,贾赦,珍,儿子,0.5287138819694519
57,贾赦,子兴,儿子,0.5490950345993042
58,贾珍,贾政,儿子,0.4809589087963104
59,贾珍,贾珠,儿子,0.4809589087963104
60,贾珍,宁公,儿子,0.7418486475944519
61,贾珍,宁国公,儿子,0.3577604591846466
62,贾珍,荣公,儿子,0.4809589087963104
63,贾珍,史侯,儿子,0.4809589087963104
64,贾珍,珍,儿子,0.4809589087963104
65,贾珍,子兴,儿子,0.5490950345993042
66,贾政,贾珠,儿子,0.5287138819694519
67,贾政,宁公,儿子,0.7418486475944519
68,贾政,宁国公,儿子,0.3577604591846466
69,贾政,荣公,儿子,0.5287138819694519
